Unnamed: 0,timestamp,unix_timestamp,sub,valence,s_ns,id,message,combined_msg
20,2019-12-31 08:37:00,1577799420,1109,negative,nonsocial,216,"""You only get one body. If you don't maintain it with exercise, you will live a shorter life and get sick more often as you age.""","""You only get one body. If you don't maintain it with exercise, you will live a shorter life and get sick more often as you age. 

Click link to complete the survey: https://redcap.duke.edu/redcap/surveys/?s=3FRPDWX48P"""
21,2020-01-01 08:05:00,1577883900,1109,positive,nonsocial,108,"""Walking around for just ten minutes provides many physical and psychological benefits, such as stronger muscles and a better mood!""","""Walking around for just ten minutes provides many physical and psychological benefits, such as stronger muscles and a better mood! 

Click link to complete the survey: https://redcap.duke.edu/redcap/surveys/?s=3FRPDWX48P"""
22,2020-01-02 10:27:00,1577978820,1109,positive,nonsocial,103,"""People sometimes think that an active lifestyle is hard to achieve. Remember that health benefits can come from as little as one hour per week of physical activity. That's less than ten minutes per day to extend your life!""","""People sometimes think that an active lifestyle is hard to achieve. Remember that health benefits can come from as little as one hour per week of physical activity. That's less than ten minutes per day to extend your life! 

Click link to complete the survey: https://redcap.duke.edu/redcap/surveys/?s=3FRPDWX48P"""
23,2020-01-03 08:10:00,1578057000,1109,positive,social,320,"""Being active improves your memory, which can help you remember your happiest moments with friends and family.""","""Being active improves your memory, which can help you remember your happiest moments with friends and family. 

Click link to complete the survey: https://redcap.duke.edu/redcap/surveys/?s=3FRPDWX48P"""
24,2020-01-04 10:15:00,1578150900,1109,positive,nonsocial,115,"""Being active improves your physical strength, morale, and self-esteem.""","""Being active improves your physical strength, morale, and self-esteem. 

Click link to complete the survey: https://redcap.duke.edu/redcap/surveys/?s=3FRPDWX48P"""
25,2020-01-05 09:38:00,1578235080,1109,positive,social,318,"""Being physically active can make daily tasks easier to perform, leaving you with more energy to spend time with friends and family.""","""Being physically active can make daily tasks easier to perform, leaving you with more energy to spend time with friends and family. 

Click link to complete the survey: https://redcap.duke.edu/redcap/surveys/?s=3FRPDWX48P"""
26,2020-01-06 10:00:00,1578322800,1109,positive,social,314,"""Invite friends or family to join you on a walk. Even short walks can help relieve stress and strengthen bones and muscles. Plus it's hard to break a commitment to someone else.""","""Invite friends or family to join you on a walk. Even short walks can help relieve stress and strengthen bones and muscles. Plus it's hard to break a commitment to someone else. 

Click link to complete the survey: https://redcap.duke.edu/redcap/surveys/?s=3FRPDWX48P"""
27,2020-01-07 08:45:00,1578404700,1109,positive,nonsocial,112,"""Not only does exercise keep the body young, but it also keeps the mind sharp and promotes emotional well-being.""","""Not only does exercise keep the body young, but it also keeps the mind sharp and promotes emotional well-being. 

Click link to complete the survey: https://redcap.duke.edu/redcap/surveys/?s=3FRPDWX48P"""
28,2020-01-08 08:40:00,1578490800,1109,negative,nonsocial,212,"""Sitting in front of a computer for a long time can result in high blood pressure, damaging your health.""","""Sitting in front of a computer for a long time can result in high blood pressure, damaging your health. 

Click link to complete the survey: https://redcap.duke.edu/redcap/surveys/?s=3FRPDWX48P"""
29,2020-01-09 08:08:00,1578575280,1109,positive,nonsocial,107,"""Physical activity may enhance your balance and make you less likely to experience a fall.""","""Physical activity may enhance your balance and make you less likely to experience a fall. 

Click link to complete the survey: https://redcap.duke.edu/redcap/surveys/?s=3FRPDWX48P"""
